id,identifier,type_id1,type_id2,evolvesFromID,evolutionChainID,description
0,missingno,flying,none,0,0,MissingNO is a programming quirk&#44; and not a real part of the game. When you get this&#44; your game can perform strangely&#44; and the graphics will often become scrambled. The MissingNO Pokémon is most often found after you perform the Fight Safari Zone Pokémon trick.
1,bulbasaur,grass,poison,0,1,Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays&#44; the seed grows progressively larger.
2,ivysaur,grass,poison,1,1,There is a bud on this Pokémon’s back. To support its weight&#44; Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight&#44; it’s a sign that the bud will bloom into a large flower soon.
3,venusaur,grass,poison,2,1,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
4,charmander,fire,none,0,2,The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged&#44; the flame burns fiercely.
5,charmeleon,fire,none,4,2,Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe&#44; it turns aggressive. In this excited state&#44; the flame at the tip of its tail flares with a bluish white color.
6,charizard,fire,flying,5,2,Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However&#44; it never turns its fiery breath on any opponent weaker than itself.
7,squirtle,water,none,0,3,Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water&#44; enabling this Pokémon to swim at high speeds.
8,wartortle,water,none,7,3,Its tail is large and covered with a rich&#44; thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.
9,blastoise,water,none,8,3,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
10,caterpie,bug,none,0,4,Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna&#44; this Pokémon releases a terrifically strong odor.
11,metapod,bug,none,10,4,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
12,butterfree,bug,flying,11,4,Butterfree has a superior ability to search for delicious honey from flowers. It can even search out&#44; extract&#44; and carry honey from flowers that are blooming over six miles from its nest.
